,file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu,overall_mem
185,185,10.0.0.50,5202,1073741824,4,600.86 Mb,104857600.0,1.39611,63.32386363636367,0.919318181818181
186,186,10.0.0.50,5202,1073741824,4,933.14 Mb,104857600.0,0.89897,66.15795454545459,0.9306818181818177
187,187,10.0.0.50,5202,1073741824,4,635.66 Mb,104857600.0,1.319674,65.07159090909089,0.9272727272727264
188,188,10.0.0.50,5202,1073741824,4,613.30 Mb,104857600.0,1.367775,60.6068181818182,0.96590909090909
189,189,10.0.0.50,5202,1073741824,4,599.81 Mb,104857600.0,1.398551,69.56477272727274,0.895454545454545
190,190,10.0.0.50,5202,1073741824,4,653.69 Mb,104857600.0,1.283279,70.35454545454547,0.9011363636363633
191,191,10.0.0.50,5202,1073741824,4,631.10 Mb,104857600.0,1.329205,65.14318181818182,0.924999999999999
192,192,10.0.0.50,5202,1073741824,4,604.57 Mb,104857600.0,1.387535,60.42840909090912,0.968181818181818
193,193,10.0.0.50,5202,1073741824,4,891.48 Mb,104857600.0,0.940976,62.440909090909116,0.9681818181818179
194,194,10.0.0.50,5202,1073741824,4,670.01 Mb,104857600.0,1.252019,74.50795454545458,0.8499999999999996
195,195,10.0.0.50,5202,1073741824,4,960.62 Mb,104857600.0,0.873247,67.33863636363637,0.9068181818181812
196,196,10.0.0.50,5202,1073741824,4,894.43 Mb,104857600.0,0.937877,63.35795454545457,0.9306818181818177
197,197,10.0.0.50,5202,1073741824,4,900.89 Mb,104857600.0,0.931142,65.60909090909091,0.9193181818181814
198,198,10.0.0.50,5202,1073741824,4,607.70 Mb,104857600.0,1.380392,62.81818181818185,0.9284090909090904
199,199,10.0.0.50,5202,1073741824,4,644.52 Mb,104857600.0,1.301535,62.37727272727273,0.9636363636363633
200,200,10.0.0.50,5202,1073741824,4,633.54 Mb,104857600.0,1.324089,58.550000000000004,0.9886363636363629
201,201,10.0.0.50,5202,1073741824,4,663.84 Mb,104857600.0,1.263654,75.86363636363636,0.8511363636363636
202,202,10.0.0.50,5202,1073741824,4,620.24 Mb,104857600.0,1.352471,59.479545454545466,0.9636363636363633
203,203,10.0.0.50,5202,1073741824,4,599.51 Mb,104857600.0,1.399248,57.99999999999998,0.9863636363636357
204,204,10.0.0.50,5202,1073741824,4,973.67 Mb,104857600.0,0.861548,72.06931818181818,0.8818181818181814
205,205,10.0.0.50,5202,1073741824,4,927.11 Mb,104857600.0,0.904817,58.2318181818182,1.0022727272727268
206,206,10.0.0.50,5202,1073741824,4,605.13 Mb,104857600.0,1.386253,77.9761363636364,0.8102272727272726
207,207,10.0.0.50,5202,1073741824,4,1005.54 Mb,104857600.0,0.834238,56.628409090909095,0.9965909090909091
208,208,10.0.0.50,5202,1073741824,4,1302.46 Mb,104857600.0,0.644057,77.00909090909092,0.846590909090909
209,209,10.0.0.50,5202,1073741824,4,605.68 Mb,104857600.0,1.385001,56.838636363636375,0.9954545454545444
210,210,10.0.0.50,5202,1073741824,4,950.99 Mb,104857600.0,0.882092,54.97386363636367,1.0249999999999988
211,211,10.0.0.50,5202,1073741824,4,656.88 Mb,104857600.0,1.277038,58.862499999999976,0.9818181818181807
212,212,10.0.0.50,5202,1073741824,4,604.22 Mb,104857600.0,1.388335,64.08750000000008,0.9215909090909087
213,213,10.0.0.50,5202,1073741824,4,904.02 Mb,104857600.0,0.927923,55.96931818181818,0.9602272727272717
214,214,10.0.0.50,5202,1073741824,4,928.97 Mb,104857600.0,0.903002,57.57272727272729,0.9431818181818173
215,215,10.0.0.50,5202,1073741824,4,1047.66 Mb,104857600.0,0.800701,62.984090909090966,0.9306818181818173
216,216,10.0.0.50,5202,1073741824,4,771.77 Mb,104857600.0,1.086931,63.02954545454554,0.9193181818181807
217,217,10.0.0.50,5202,1073741824,4,784.45 Mb,104857600.0,1.069366,71.61590909090908,0.9124999999999992
218,218,10.0.0.50,5202,1073741824,4,689.26 Mb,104857600.0,1.217039,64.37386363636368,0.9147727272727262
219,219,10.0.0.50,5202,1073741824,4,603.00 Mb,104857600.0,1.391137,63.550000000000026,0.9136363636363629
220,220,10.0.0.50,5202,1073741824,4,978.74 Mb,104857600.0,0.857085,66.04886363636366,0.913636363636363
221,221,10.0.0.50,5202,1073741824,4,892.88 Mb,104857600.0,0.939498,67.22954545454549,0.9193181818181813
222,222,10.0.0.50,5202,1073741824,4,1209.54 Mb,104857600.0,0.693537,67.27045454545456,0.9136363636363634
223,223,10.0.0.50,5202,1073741824,4,1174.93 Mb,104857600.0,0.713969,63.680681818181824,0.9249999999999996
224,224,10.0.0.50,5202,1073741824,4,586.48 Mb,104857600.0,1.430325,61.14318181818183,0.9624999999999996
225,225,10.0.0.50,5202,1073741824,4,657.01 Mb,104857600.0,1.276786,75.27045454545456,0.859090909090909
226,226,10.0.0.50,5202,1073741824,4,1180.43 Mb,104857600.0,0.710642,67.44318181818183,0.9136363636363634
227,227,10.0.0.50,5202,1073741824,4,932.95 Mb,104857600.0,0.899148,63.647727272727295,0.9318181818181813
228,228,10.0.0.50,5202,1073741824,4,635.01 Mb,104857600.0,1.321019,69.29204545454546,0.896590909090909
229,229,10.0.0.50,5202,1073741824,4,606.79 Mb,104857600.0,1.382447,64.32840909090909,0.9443181818181816
230,230,10.0.0.50,5202,1073741824,4,606.78 Mb,104857600.0,1.38249,70.84318181818186,0.8806818181818183
231,231,10.0.0.50,5202,1073741824,4,909.25 Mb,104857600.0,0.922585,60.93749999999999,0.9670454545454537
232,232,10.0.0.50,5202,1073741824,4,1264.07 Mb,104857600.0,0.663619,57.779545454545435,1.0147727272727265
233,233,10.0.0.50,5202,1073741824,4,652.29 Mb,104857600.0,1.28603,76.99659090909095,0.8318181818181819
234,234,10.0.0.50,5202,1073741824,4,604.21 Mb,104857600.0,1.388351,57.55568181818183,0.9920454545454542
235,235,10.0.0.50,5202,1073741824,4,606.03 Mb,104857600.0,1.384188,71.76590909090913,0.8613636363636362
236,236,10.0.0.50,5202,1073741824,4,641.35 Mb,104857600.0,1.307962,56.6318181818182,1.0011363636363626
237,237,10.0.0.50,5202,1073741824,4,661.04 Mb,104857600.0,1.26901,71.29545454545456,0.8784090909090909
238,238,10.0.0.50,5202,1073741824,4,657.04 Mb,104857600.0,1.27673,70.19772727272729,0.8999999999999999
239,239,10.0.0.50,5202,1073741824,4,1210.38 Mb,104857600.0,0.693057,62.4465909090909,0.96590909090909
240,240,10.0.0.50,5202,1073741824,4,782.23 Mb,104857600.0,1.0724,57.107954545454554,1.0022727272727268
241,241,10.0.0.50,5202,1073741824,4,922.53 Mb,104857600.0,0.909302,55.548863636363656,1.010227272727272
242,242,10.0.0.50,5202,1073741824,4,610.25 Mb,104857600.0,1.374619,58.1943181818182,0.9704545454545447
243,243,10.0.0.50,5202,1073741824,4,675.65 Mb,104857600.0,1.241569,55.88522727272729,0.9647727272727263
244,244,10.0.0.50,5202,1073741824,4,1240.36 Mb,104857600.0,0.676307,59.140909090909105,0.9386363636363626
